"声優","出演数","メイン","メイン率"
"山崎はるか","40","5","0.125"
"浅田葉子","39","0","0.0"
"大亀あすか","39","8","0.20512820512820512"
"木川絵理子","39","0","0.0"
"〆野潤子","39","0","0.0"
"高本めぐみ","39","9","0.23076923076923078"
"高森奈緒","39","0","0.0"
"津賀有子","39","1","0.02564102564102564"
"中川里江","39","3","0.07692307692307693"
"中嶋アキ","39","0","0.0"
"はやみけい","39","0","0.0"
"洞内愛","39","4","0.10256410256410256"
"前田ゆきえ","39","0","0.0"
"前田玲奈","39","5","0.1282051282051282"
"矢野亜沙美","39","0","0.0"
"山川琴美","39","0","0.0"
"磯辺万沙子","38","0","0.0"
"榎あづさ","38","10","0.2631578947368421"
"織田芙実","38","0","0.0"
"木藤聡子","38","0","0.0"
"小菅真美","38","0","0.0"
"サエキトモ","38","4","0.10526315789473684"
"徳井青空","38","20","0.5263157894736842"
"中川玲","38","0","0.0"
"本間ゆかり","38","0","0.0"
"山崎みちる","38","2","0.05263157894736842"
"山本麻里安","38","10","0.2631578947368421"
"浅井淑子 (声優)","37","0","0.0"
"浅倉杏美","37","8","0.21621621621621623"
"久保田民絵","37","0","0.0"
"後藤麻衣 (声優)","37","15","0.40540540540540543"
"櫻井智","37","6","0.16216216216216217"
"佐々木未来","37","12","0.32432432432432434"
"田中涼子 (声優)","37","7","0.1891891891891892"
"久嶋志帆","37","0","0.0"
"福原香織","37","16","0.43243243243243246"
"真柴摩利","37","2","0.05405405405405406"
"松井恵理子","37","9","0.24324324324324326"
"森沢芙美","37","1","0.02702702702702703"
"山像かおり","37","0","0.0"
"山本杏美","37","8","0.21621621621621623"
"吉田美保","37","0","0.0"
"LYNN","37","5","0.13513513513513514"
"葛城七穂","36","0","0.0"
"鎌田梢","36","0","0.0"
"神田理江","36","3","0.08333333333333333"
"斉藤昌","36","0","0.0"
"沢田和子","36","0","0.0"
"沢田和猫","36","0","0.0"
"中島千里","36","0","0.0"
"永田亮子","36","6","0.16666666666666666"
"西野陽子","36","0","0.0"
"細野雅世","36","0","0.0"
"柳沢三千代","36","4","0.1111111111111111"
"優希 (声優)","36","0","0.0"
"上野アサ","35","0","0.0"
"石川寛美","35","1","0.02857142857142857"
"川庄美雪","35","3","0.08571428571428572"
"喜田あゆ美","35","0","0.0"
"北川智繪","35","0","0.0"
"木村珠莉","35","3","0.08571428571428572"
"國立幸","35","10","0.2857142857142857"
"下田麻美","35","11","0.3142857142857143"
"杉本沙織","35","6","0.17142857142857143"
"鈴木砂織","35","6","0.17142857142857143"
"高橋和枝","35","3","0.08571428571428572"
"中上育実","35","1","0.02857142857142857"
"西川宏美","35","0","0.0"
"桃井はるこ","35","14","0.4"
"諸星すみれ","35","6","0.17142857142857143"
