"声優","出演数","メイン","メイン率"
"唐沢潤","4","0","0.0"
"川上未遊","4","0","0.0"
"川口宰曜子","4","0","0.0"
"川崎恵理子","15","0","0.0"
"川浪葉子","17","0","0.0"
"河原佳代子","6","0","0.0"
"神田朱未","2","0","0.0"
"神田理江","1","0","0.0"
"神田和佳","5","0","0.0"
"菊地晶子","10","0","0.0"
"菊池いづみ","6","0","0.0"
"菊池紘子","1","0","0.0"
"菊池志穂","16","0","0.0"
"菊地祥子","24","0","0.0"
"稀代桜子","14","0","0.0"
"貴杉奈央","3","0","0.0"
"喜田あゆ美","20","0","0.0"
"喜多道枝","1","0","0.0"
"北川智繪","7","0","0.0"
"木藤聡子","20","0","0.0"
"来宮良子","2","0","0.0"
"木村郁絵","3","0","0.0"
"京田尚子","45","0","0.0"
"公卿敬子","1","0","0.0"
"日下ちひろ","1","0","0.0"
"草地章江","2","0","0.0"
"くじら (声優)","32","0","0.0"
"久保さゆり","3","0","0.0"
"久保田民絵","6","0","0.0"
"久保田恵","5","0","0.0"
"熊谷ニーナ","20","0","0.0"
"栗田ひづる","6","0","0.0"
"栗原みきこ","3","0","0.0"
"久梨原れな","6","0","0.0"
"くるまどあきこ","1","0","0.0"
"輦止亮子","1","0","0.0"
"くればやしたくみ","14","0","0.0"
"呉林卓美","14","0","0.0"
"黒崎彩子","8","0","0.0"
"黒田弥生","8","0","0.0"
"黒田由美","12","0","0.0"
"桑谷夏子","1","0","0.0"
"小池亜希子","5","0","0.0"
"幸田夏穂","8","0","0.0"
"幸田直子","7","0","0.0"
"倖月美和","1","0","0.0"
"光明寺敬子","6","0","0.0"
"好村俊子","1","0","0.0"
"河本明子","1","0","0.0"
"幸山奈央","2","0","0.0"
"小暮英麻","5","0","0.0"
"小島幸子","4","0","0.0"
"小島悠理","18","0","0.0"
"こたにともこ","10","0","0.0"
"小谷伸子","17","0","0.0"
"兒玉彩伽","7","0","0.0"
"児玉孝子","7","0","0.0"
"後藤真寿美","10","0","0.0"
"後藤邑子","7","0","0.0"
"此島愛子","3","0","0.0"
"小林愛","4","0","0.0"
"小林けい","4","0","0.0"
"小林希唯","4","0","0.0"
"小林さやか","2","0","0.0"
"小林美佐","2","0","0.0"
"小林由利","1","0","0.0"
"小日向みわ","2","0","0.0"
"小松由佳 (声優)","1","0","0.0"
"小松里歌","11","0","0.0"
"小松里賀","11","0","0.0"
"小宮和枝","24","0","0.0"
"こやまきみこ","1","0","0.0"
"小山裕香","13","0","0.0"
"近藤高子","5","0","0.0"
"近藤玲子 (声優)","11","0","0.0"
"金野恵子","2","0","0.0"
"近野真昼","1","0","0.0"
"彩木香里","3","0","0.0"
"斎藤恵理","1","0","0.0"
"斉藤昌","11","0","0.0"
"斉藤庄子","4","0","0.0"
"斉藤千恵子","2","0","0.0"
"斎藤千和","1","0","0.0"
"齊藤真紀","4","0","0.0"
"斉藤祐子","5","0","0.0"
"榊原ゆい","1","0","0.0"
"阪口あや","10","0","0.0"
"佐久間純子","9","0","0.0"
"佐久間なつみ","4","0","0.0"
"鮭延未可","7","0","0.0"
"佐々木静香","1","0","0.0"
"佐々木優子","29","0","0.0"
"佐々木瑶子","10","0","0.0"
"佐々木るん","15","0","0.0"
"笹島かほる","7","0","0.0"
"笹本優子","25","0","0.0"
"定岡小百合","23","0","0.0"
"さとうあい","44","0","0.0"
"佐藤麻子","5","0","0.0"
"佐藤しのぶ (声優)","14","0","0.0"
"佐藤美佳子","5","0","0.0"
"佐藤ゆうこ (声優)","14","0","0.0"
"佐藤裕美","1","0","0.0"
"佐藤ユリ","10","0","0.0"
"里見はるか","1","0","0.0"
"茶山莉子","1","0","0.0"
"紗ゆり","29","0","0.0"
"沢口千恵","11","0","0.0"
"沢田敏子","8","0","0.0"
"塩田朋子","1","0","0.0"
"塩味かをる","3","0","0.0"
"重松朋","2","0","0.0"
"篠原あけみ","11","0","0.0"
"志乃宮風子","7","0","0.0"
"柴田由美子 (声優)","3","0","0.0"
"芝原チヤコ","14","0","0.0"
"島ゆうこ","1","0","0.0"
"嶋方淳子","24","0","0.0"
"嶋村カオル","21","0","0.0"
"清水愛","1","0","0.0"
"春林","1","0","0.0"
"城雅子","5","0","0.0"
"荘真由美","16","0","0.0"
"荘司美代子","2","0","0.0"
"白井美香","1","0","0.0"
"白倉麻子","16","0","0.0"
"秦由香里","1","0","0.0"
"神宮司弥生","4","0","0.0"
"新谷真弓","6","0","0.0"
"進藤こころ","6","0","0.0"
"菅谷政子","2","0","0.0"
"菅原祥子","5","0","0.0"
"杉田郁子","2","0","0.0"
"杉原美和","2","0","0.0"
"杉本ゆう","19","0","0.0"
"鈴鹿千春","17","0","0.0"
"鈴木麗子","4","0","0.0"
"鈴木富子","27","0","0.0"
"すずき紀子","5","0","0.0"
"鈴木秀香","1","0","0.0"
"鈴木弘子","5","0","0.0"
"鈴木ふう","6","0","0.0"
"鈴木麻里子","4","0","0.0"
"鈴木裕美子 (声優)","9","0","0.0"
"鈴木れい子","53","0","0.0"
"須藤祐実","3","0","0.0"
"住友七絵","13","0","0.0"
"住友優子","10","0","0.0"
"関根章恵","3","0","0.0"
"関根明子 (声優)","7","0","0.0"
"薛宏美","3","0","0.0"
"瀬戸奈保子","7","0","0.0"
"瀬戸真由美","7","0","0.0"
"瀬能礼子","2","0","0.0"
"沢海陽子","25","0","0.0"
"園田恵子","7","0","0.0"
"多緒都","1","0","0.0"
"高木早苗","14","0","0.0"
"高島雅羅","18","0","0.0"
"高瀬郁子","3","0","0.0"
"高梁碧","1","0","0.0"
"高橋和枝","3","0","0.0"
"たかはし智秋","4","0","0.0"
"高橋ひろ子","1","0","0.0"
"高村章子","2","0","0.0"
"高森奈緒","14","0","0.0"
"高山ゆかり","7","0","0.0"
"滝万沙子","1","0","0.0"
"多岐川まり子","1","0","0.0"
"滝沢久美子","25","0","0.0"
"竹口安芸子","18","0","0.0"
"竹田愛里","11","0","0.0"
"武政弘子","8","0","0.0"
"竹村叔子","1","0","0.0"
"たちのまさみ","3","0","0.0"
"立花みほ子","4","0","0.0"
"橘U子","6","0","0.0"
"達依久子","14","0","0.0"
"立野香菜子","1","0","0.0"
"田中潤","2","0","0.0"
"田中美唯","3","0","0.0"
"田中涼子 (声優)","10","0","0.0"
"棚田恵美子","3","0","0.0"
"谷育子","10","0","0.0"
"谷口和花子","6","0","0.0"
"種田文子","5","0","0.0"
"環有希","3","0","0.0"
"玉木有紀子","3","0","0.0"
"田村真紀","3","0","0.0"
"CHIKO","16","0","0.0"
"千々松幸子","6","0","0.0"
